name,rating,href
北国之恋：1995秘密,9.5,https://movie.douban.com/subject/2025130/
雅尼2006年拉斯维加斯音乐会,9.5,https://movie.douban.com/subject/5258042/
さんタク2018,9.5,https://movie.douban.com/subject/27624729/
费加罗的婚礼,9.5,https://movie.douban.com/subject/5183748/
剧匠魅影,9.4,https://movie.douban.com/subject/1305054/
周六夜现场：贾斯汀·丁伯莱克/Lady Gaga,9.3,https://movie.douban.com/subject/6132713/
春之祭,9.3,https://movie.douban.com/subject/4050493/
齐天乐,9.3,https://movie.douban.com/subject/11498192/
理查二世：皇家莎士比亚剧团,9.3,https://movie.douban.com/subject/25786190/
宇宙兄弟#0,9.3,https://movie.douban.com/subject/25792658/
草地恋歌,9.3,https://movie.douban.com/subject/30238371/
欢乐树的朋友们：赶尽杀绝,9.1,https://movie.douban.com/subject/3075070/
战争与和平2：娜塔莎·罗斯托娃,9.1,https://movie.douban.com/subject/1303712/
排球少年剧场版：观念之战,9.1,https://movie.douban.com/subject/27144868/
星期天与乔治同游公园,9.0,https://movie.douban.com/subject/1304265/
2004年第28届雅典奥运会,9.0,https://movie.douban.com/subject/1892794/
从漫画了解！Fate/Grand Order,9.0,https://movie.douban.com/subject/30420108/
迈克尔杰克逊反击片,9.6,https://movie.douban.com/subject/3837173/
老鹰乐队2004年墨尔本演唱会,9.6,https://movie.douban.com/subject/1875218/
魔笛,9.5,https://movie.douban.com/subject/2266408/
跳出我天地音乐剧,9.4,https://movie.douban.com/subject/26264388/
博弈论,9.4,https://movie.douban.com/subject/3272459/
Justin Timberlake: FutureSex/LoveShow - Live from Madison Square Garden,9.4,https://movie.douban.com/subject/2378028/
绝对要赢 羽生结弦 向自己发起的挑战,9.4,https://movie.douban.com/subject/30140054/
The Beatles Yellow Submarine Adventure,9.3,https://movie.douban.com/subject/2139531/
南方公园之梦想国度,9.3,https://movie.douban.com/subject/5179539/
林肯公园：德州现场,9.2,https://movie.douban.com/subject/1875225/
丝路花雨,9.2,https://movie.douban.com/subject/3804492/
贾达·弗雷德兰德：美国是美国最棒的国家,9.2,https://movie.douban.com/subject/27149822/
王者之路,9.2,https://movie.douban.com/subject/2979518/
乔治·卡林：这对你不好,9.1,https://movie.douban.com/subject/3001399/
卡门,9.1,https://movie.douban.com/subject/1448669/
迪兰·莫兰：是的没错,9.1,https://movie.douban.com/subject/6790958/
战争与和平1：安德烈·博尔孔斯基,9.1,https://movie.douban.com/subject/1298257/
一碗阳春面,9.0,https://movie.douban.com/subject/2062564/
白比姆黑耳朵,9.0,https://movie.douban.com/subject/1465465/
阿曼动画之超级无敌掌门狗系列2,9.0,https://movie.douban.com/subject/1305745/
莎士比亚现场,9.0,https://movie.douban.com/subject/26780025/
秦香莲,9.0,https://movie.douban.com/subject/4720779/
professional 行家本色 宇多田光特辑,9.0,https://movie.douban.com/subject/30290861/
德国战车：柏林现场,9.6,https://movie.douban.com/subject/1866445/
老鹰乐队冰封地狱演唱会,9.6,https://movie.douban.com/subject/1875725/
绅士联盟：德鲁里街剧院现场,9.6,https://movie.douban.com/subject/20277079/
AFI终身成就奖：向阿尔帕西诺致敬,9.6,https://movie.douban.com/subject/4832752/
北国之恋：2002遗言,9.5,https://movie.douban.com/subject/2025137/
第五十一届超级碗,9.5,https://movie.douban.com/subject/26961992/
黎明到来,9.5,https://movie.douban.com/subject/5062387/
模糊乐队：海德公园现场,9.5,https://movie.douban.com/subject/11599732/
神秘博士：DT的视频日志,9.4,https://movie.douban.com/subject/10553116/
奥普拉专访迈克尔·杰克逊,9.4,https://movie.douban.com/subject/3831323/
跟住去边度,9.4,https://movie.douban.com/subject/26767519/
凡人与超人,9.3,https://movie.douban.com/subject/26637930/
战争与和平3：1812年,9.3,https://movie.douban.com/subject/1303079/
银魂晴祭2016,9.3,https://movie.douban.com/subject/26887094/
聪明狗走天涯,9.3,https://movie.douban.com/subject/1297777/
莫扎特 歌剧《魔笛》,9.3,https://movie.douban.com/subject/1812455/
欢乐树的朋友们：第三击,9.2,https://movie.douban.com/subject/1393472/
迪兰·莫兰：是什么？,9.2,https://movie.douban.com/subject/4850732/
绅士联盟 圣诞特辑,9.2,https://movie.douban.com/subject/20277075/
战争与和平4：皮埃尔·别祖霍夫,9.2,https://movie.douban.com/subject/1297822/
帝女花,9.2,https://movie.douban.com/subject/1918697/
人间的条件(第五、六部),9.1,https://movie.douban.com/subject/1441039/
飞翔的梦,9.1,https://movie.douban.com/subject/1305995/
身毒丸,9.1,https://movie.douban.com/subject/20326528/
达伦·布朗：心灵诡计,9.1,https://movie.douban.com/subject/1890430/
史努比的惊险夏令营,9.1,https://movie.douban.com/subject/2139403/
四签名,9.0,https://movie.douban.com/subject/3130431/
皮罗斯马尼,9.0,https://movie.douban.com/subject/3271800/
游园惊梦,9.0,https://movie.douban.com/subject/11593132/
英国国家剧院50周年庆典,9.6,https://movie.douban.com/subject/25760611/
夜愿：时代终结,9.6,https://movie.douban.com/subject/3104390/
霍伊特团队,9.6,https://movie.douban.com/subject/2006101/
Minimum-Maximum,9.6,https://movie.douban.com/subject/1947460/
化学兄弟：不去想,9.6,https://movie.douban.com/subject/10514980/
Andrea Bocelli 2007意大利托斯卡纳演唱会,9.6,https://movie.douban.com/subject/3034290/
The Killers: Live from the Royal Albert Hall,9.6,https://movie.douban.com/subject/5159040/
l'autre c'est moi,9.6,https://movie.douban.com/subject/2382278/
第67届托尼奖颁奖典礼,9.6,https://movie.douban.com/subject/24737983/
北国之恋：1992自立,9.5,https://movie.douban.com/subject/2025124/
professional 工作的流派 SMAP,9.5,https://movie.douban.com/subject/26430124/
飄,9.5,https://movie.douban.com/subject/26555978/
雅尼：雅典卫城现场音乐会,9.5,https://movie.douban.com/subject/25712446/
演员工作室：小罗伯特·唐尼,9.5,https://movie.douban.com/subject/4119134/
